Date,FXDate,Rate
0,2015-10-31,1.30463
1,2015-10-30,1.30463
2,2015-10-29,1.30463
3,2015-10-28,1.30463
4,2015-10-27,1.30463
5,2015-10-26,1.30463
6,2015-10-25,1.30463
7,2015-10-24,1.30463
8,2015-10-23,1.30463
9,2015-10-22,1.30463
10,2015-10-21,1.30463
11,2015-10-20,1.30463
12,2015-10-19,1.30463
13,2015-10-18,1.30463
14,2015-10-17,1.30463
15,2015-10-16,1.30463
16,2015-10-15,1.30463
17,2015-10-14,1.30463
18,2015-10-13,1.30463
19,2015-10-12,1.30463
20,2015-10-11,1.30463
21,2015-10-10,1.30463
22,2015-10-09,1.30463
23,2015-10-08,1.30463
24,2015-10-07,1.30463
25,2015-10-06,1.30463
26,2015-10-05,1.30839
27,2015-10-04,1.31695
28,2015-10-03,1.315504
29,2015-10-02,1.315504
30,2015-10-01,1.324603
31,2015-09-30,1.33185
32,2015-09-29,1.342304
33,2015-09-28,1.339899
34,2015-09-27,1.33213
35,2015-09-26,1.333504
36,2015-09-25,1.333504
37,2015-09-24,1.33259
38,2015-09-23,1.33165
39,2015-09-22,1.329149
40,2015-09-21,1.323705
41,2015-09-20,1.321305
42,2015-09-19,1.32265
43,2015-09-18,1.32265
44,2015-09-17,1.317335
45,2015-09-16,1.31775
46,2015-09-15,1.32359
47,2015-09-14,1.32595
48,2015-09-13,1.324302
49,2015-09-12,1.326404
50,2015-09-11,1.326404
51,2015-09-10,1.321802
52,2015-09-09,1.32476
53,2015-09-08,1.320103
54,2015-09-07,1.329499
55,2015-09-06,1.326498
56,2015-09-05,1.32775
57,2015-09-04,1.32775
58,2015-09-03,1.32195
59,2015-09-02,1.32655
60,2015-09-01,1.32258
61,2015-08-31,1.31475
62,2015-08-30,1.323285
63,2015-08-29,1.32045
64,2015-08-28,1.32045
65,2015-08-27,1.318815
66,2015-08-26,1.3303
67,2015-08-25,1.3296
68,2015-08-24,1.3214
69,2015-08-23,1.3214
70,2015-08-22,1.3214
71,2015-08-21,1.3149
72,2015-08-20,1.308
73,2015-08-19,1.3165
74,2015-08-18,1.3074
75,2015-08-17,1.3091
76,2015-08-16,1.3091
77,2015-08-15,1.3091
78,2015-08-14,1.3079
79,2015-08-13,1.3079
80,2015-08-12,1.2974
81,2015-08-11,1.3148
82,2015-08-10,1.3057
83,2015-08-09,1.3057
84,2015-08-08,1.3057
85,2015-08-07,1.3122
86,2015-08-06,1.3153
87,2015-08-05,1.3182
88,2015-08-04,1.3125
89,2015-08-03,1.3046
90,2015-08-02,1.3046
91,2015-08-01,1.3046
92,2015-07-31,1.3046
93,2015-07-30,1.3026
94,2015-07-29,1.2893
95,2015-07-28,1.2933
96,2015-07-27,1.3009
97,2015-07-26,1.3009
98,2015-07-25,1.3009
99,2015-07-24,1.306
100,2015-07-23,1.3029
101,2015-07-22,1.3026
102,2015-07-21,1.2962
103,2015-07-20,1.2982
104,2015-07-19,1.2982
105,2015-07-18,1.2982
106,2015-07-17,1.2999
107,2015-07-16,1.2938
108,2015-07-15,1.2937
109,2015-07-14,1.2749
110,2015-07-13,1.2762
111,2015-07-12,1.2762
112,2015-07-11,1.2762
113,2015-07-10,1.2715
114,2015-07-09,1.2729
115,2015-07-08,1.2723
116,2015-07-07,1.274
117,2015-07-06,1.2626
118,2015-07-05,1.2626
119,2015-07-04,1.2626
120,2015-07-03,1.2571
121,2015-07-02,1.2566
122,2015-07-01,1.2473
123,2015-06-30,1.2473
124,2015-06-29,1.2382
125,2015-06-28,1.2382
126,2015-06-27,1.2382
127,2015-06-26,1.2359
128,2015-06-25,1.2347
129,2015-06-24,1.2415
130,2015-06-23,1.2327
131,2015-06-22,1.2288
132,2015-06-21,1.2288
133,2015-06-20,1.2288
134,2015-06-19,1.2279
135,2015-06-18,1.2209
136,2015-06-17,1.2308
137,2015-06-16,1.233
138,2015-06-15,1.2323
139,2015-06-14,1.2323
140,2015-06-13,1.2323
141,2015-06-12,1.2305
142,2015-06-11,1.2314
143,2015-06-10,1.2267
144,2015-06-09,1.2317
145,2015-06-08,1.2435
146,2015-06-07,1.2435
147,2015-06-06,1.2435
148,2015-06-05,1.2489
149,2015-06-04,1.2477
150,2015-06-03,1.2436
151,2015-06-02,1.2422
152,2015-06-01,1.255
153,2015-05-31,1.255
