,Date,Symbol,Price,PrevPrice
0,2015-07-07,XMD.TO,24.02,24.030001
1,2015-07-06,XMD.TO,24.030001,24.16
2,2015-07-03,XMD.TO,24.16,24.15
3,2015-07-02,XMD.TO,24.15,24.1
4,2015-06-30,XMD.TO,24.1,23.969999
5,2015-06-29,XMD.TO,23.969999,24.43
6,2015-06-26,XMD.TO,24.43,24.610001
7,2015-06-25,XMD.TO,24.610001,24.690001
8,2015-06-24,XMD.TO,24.690001,24.629999
9,2015-06-23,XMD.TO,24.629999,24.5
10,2015-06-22,XMD.TO,24.5,24.309999
11,2015-06-19,XMD.TO,24.309999,24.5
12,2015-06-18,XMD.TO,24.5,24.389999
13,2015-06-17,XMD.TO,24.389999,24.530001
14,2015-06-16,XMD.TO,24.530001,24.52
15,2015-06-15,XMD.TO,24.52,24.57
16,2015-06-12,XMD.TO,24.57,24.67
17,2015-06-11,XMD.TO,24.67,24.790001
18,2015-06-10,XMD.TO,24.790001,24.6
19,2015-06-09,XMD.TO,24.6,24.52
20,2015-06-08,XMD.TO,24.52,24.77
21,2015-06-05,XMD.TO,24.77,24.83
22,2015-06-04,XMD.TO,24.83,25.09
23,2015-06-03,XMD.TO,25.09,25.120001
24,2015-06-02,XMD.TO,25.120001,25.02
25,2015-06-01,XMD.TO,25.02,24.92
26,2015-05-29,XMD.TO,24.92,24.860001
27,2015-05-28,XMD.TO,24.860001,24.84
28,2015-05-27,XMD.TO,24.84,24.790001
29,2015-05-26,XMD.TO,24.790001,25.059999
30,2015-05-25,XMD.TO,25.059999,25.059999
31,2015-05-22,XMD.TO,25.059999,25.110001
32,2015-05-21,XMD.TO,25.110001,25.08
33,2015-05-20,XMD.TO,25.08,25.049999
34,2015-05-19,XMD.TO,25.049999,25.120001
35,2015-05-18,XMD.TO,25.120001,25.120001
36,2015-05-15,XMD.TO,25.120001,24.940001
37,2015-05-14,XMD.TO,24.940001,24.92
38,2015-05-13,XMD.TO,24.92,24.889999
39,2015-05-12,XMD.TO,24.889999,24.969999
40,2015-05-11,XMD.TO,24.969999,25.120001
41,2015-05-08,XMD.TO,25.120001,24.83
42,2015-05-07,XMD.TO,24.83,24.889999
43,2015-05-06,XMD.TO,24.889999,25.190001
44,2015-05-05,XMD.TO,25.190001,25.43
45,2015-05-04,XMD.TO,25.43,25.35
46,2015-05-01,XMD.TO,25.35,25.23
47,2015-04-30,XMD.TO,25.23,25.309999
48,2015-04-29,XMD.TO,25.309999,25.27
49,2015-04-28,XMD.TO,25.27,25.219999
50,2015-04-27,XMD.TO,25.219999,25.299999
51,2015-04-24,XMD.TO,25.299999,25.27
52,2015-04-23,XMD.TO,25.27,25.08
53,2015-04-22,XMD.TO,25.08,25.23
54,2015-04-21,XMD.TO,25.23,25.4
55,2015-04-20,XMD.TO,25.4,25.4
56,2015-04-17,XMD.TO,25.4,25.459999
57,2015-04-16,XMD.TO,25.459999,25.540001
58,2015-04-15,XMD.TO,25.540001,25.33
59,2015-04-14,XMD.TO,25.33,25.299999
60,2015-04-13,XMD.TO,25.299999,25.32
61,2015-04-10,XMD.TO,25.32,25.23
62,2015-04-09,XMD.TO,25.23,25.1
63,2015-04-08,XMD.TO,25.1,25.200001
64,2015-04-07,XMD.TO,25.200001,25.129999
65,2015-04-06,XMD.TO,25.129999,24.780001
66,2015-04-02,XMD.TO,24.780001,24.700001
67,2015-04-01,XMD.TO,24.700001,24.59
68,2015-03-31,XMD.TO,24.59,24.629999
69,2015-03-30,XMD.TO,24.629999,24.65
70,2015-03-27,XMD.TO,24.65,24.629999
71,2015-03-26,XMD.TO,24.629999,24.719999
72,2015-03-25,XMD.TO,24.719999,24.780001
73,2015-03-24,XMD.TO,24.780001,24.629999
74,2015-03-23,XMD.TO,24.629999,24.51
75,2015-03-20,XMD.TO,24.51,24.32
76,2015-03-19,XMD.TO,24.32,24.450001
77,2015-03-18,XMD.TO,24.450001,24.4
78,2015-03-17,XMD.TO,24.4,24.24
79,2015-03-16,XMD.TO,24.24,24.09
80,2015-03-13,XMD.TO,24.09,24.25
81,2015-03-12,XMD.TO,24.25,24.209999
82,2015-03-11,XMD.TO,24.209999,24.059999
83,2015-03-10,XMD.TO,24.059999,24.389999
84,2015-03-09,XMD.TO,24.389999,24.57
85,2015-03-06,XMD.TO,24.57,24.860001
86,2015-03-05,XMD.TO,24.860001,24.940001
87,2015-03-04,XMD.TO,24.940001,24.98
88,2015-03-03,XMD.TO,24.98,25.059999
89,2015-03-02,XMD.TO,25.059999,25.09
90,2015-02-27,XMD.TO,25.09,25.02
91,2015-02-26,XMD.TO,25.02,25.07
92,2015-02-25,XMD.TO,25.07,24.940001
93,2015-02-24,XMD.TO,24.940001,25.0
94,2015-02-23,XMD.TO,25.0,25.049999
95,2015-02-20,XMD.TO,25.049999,25.16
96,2015-02-19,XMD.TO,25.16,25.25
97,2015-02-18,XMD.TO,25.25,25.26
98,2015-02-17,XMD.TO,25.26,25.26
99,2015-02-13,XMD.TO,25.26,25.08
100,2015-02-12,XMD.TO,25.08,24.85
101,2015-02-11,XMD.TO,24.85,24.84
102,2015-02-10,XMD.TO,24.84,24.93
103,2015-02-09,XMD.TO,24.93,24.76
104,2015-02-06,XMD.TO,24.76,24.879999
105,2015-02-05,XMD.TO,24.879999,24.68
106,2015-02-04,XMD.TO,24.68,24.83
107,2015-02-03,XMD.TO,24.83,24.450001
108,2015-02-02,XMD.TO,24.450001,24.07
109,2015-01-30,XMD.TO,24.07,23.799999
110,2015-01-29,XMD.TO,23.799999,23.889999
111,2015-01-28,XMD.TO,23.889999,24.35
112,2015-01-27,XMD.TO,24.35,24.23
113,2015-01-26,XMD.TO,24.23,24.18
114,2015-01-23,XMD.TO,24.18,24.110001
115,2015-01-22,XMD.TO,24.110001,23.860001
116,2015-01-21,XMD.TO,23.860001,23.59
117,2015-01-20,XMD.TO,23.59,23.639999
118,2015-01-19,XMD.TO,23.639999,23.620001
119,2015-01-16,XMD.TO,23.620001,23.24
120,2015-01-15,XMD.TO,23.24,23.209999
121,2015-01-14,XMD.TO,23.209999,23.35
122,2015-01-13,XMD.TO,23.35,23.42
123,2015-01-12,XMD.TO,23.42,23.709999
124,2015-01-09,XMD.TO,23.709999,23.700001
125,2015-01-08,XMD.TO,23.700001,23.549999
126,2015-01-07,XMD.TO,23.549999,23.469999
127,2015-01-06,XMD.TO,23.469999,23.799999
128,2015-01-05,XMD.TO,23.799999,24.18
129,2015-01-02,XMD.TO,24.18,24.040001
130,2014-12-31,XMD.TO,24.040001,23.969999
131,2014-12-30,XMD.TO,23.969999,23.99
132,2014-12-29,XMD.TO,23.99,23.99
133,2014-12-24,XMD.TO,23.99,23.9
134,2014-12-23,XMD.TO,23.9,23.57
135,2014-12-22,XMD.TO,23.57,23.799999
136,2014-12-19,XMD.TO,23.799999,23.57
137,2014-12-18,XMD.TO,23.57,23.27
138,2014-12-17,XMD.TO,23.27,22.690001
139,2014-12-16,XMD.TO,22.690001,22.42
140,2014-12-15,XMD.TO,22.42,22.43
141,2014-12-12,XMD.TO,22.43,22.700001
142,2014-12-11,XMD.TO,22.700001,22.629999
143,2014-12-10,XMD.TO,22.629999,23.18
144,2014-12-09,XMD.TO,23.18,23.09
145,2014-12-08,XMD.TO,23.09,23.68
146,2014-12-05,XMD.TO,23.68,23.58
147,2014-12-04,XMD.TO,23.58,24.030001
148,2014-12-03,XMD.TO,24.030001,23.780001
149,2014-12-02,XMD.TO,23.780001,23.77
150,2014-12-01,XMD.TO,23.77,24.129999
151,2014-11-28,XMD.TO,24.129999,24.42
152,2014-11-27,XMD.TO,24.42,24.84
153,2014-11-26,XMD.TO,24.84,24.98
154,2014-11-25,XMD.TO,24.98,24.860001
155,2014-11-24,XMD.TO,24.860001,25.08
156,2014-11-21,XMD.TO,25.08,24.940001
157,2014-11-20,XMD.TO,24.940001,24.75
158,2014-11-19,XMD.TO,24.75,24.879999
159,2014-11-18,XMD.TO,24.879999,24.790001
160,2014-11-17,XMD.TO,24.790001,24.66
161,2014-11-14,XMD.TO,24.66,24.43
162,2014-11-13,XMD.TO,24.43,24.690001
163,2014-11-12,XMD.TO,24.690001,24.440001
164,2014-11-10,XMD.TO,24.440001,24.58
165,2014-11-07,XMD.TO,24.58,24.219999
166,2014-11-06,XMD.TO,24.219999,24.16
167,2014-11-05,XMD.TO,24.16,23.9
168,2014-11-04,XMD.TO,23.9,24.280001
169,2014-11-03,XMD.TO,24.280001,24.27
170,2014-10-31,XMD.TO,24.27,24.110001
171,2014-10-30,XMD.TO,24.110001,24.33
172,2014-10-29,XMD.TO,24.33,24.42
173,2014-10-28,XMD.TO,24.42,24.139999
174,2014-10-27,XMD.TO,24.139999,24.43
175,2014-10-24,XMD.TO,24.43,24.360001
176,2014-10-23,XMD.TO,24.360001,24.15
177,2014-10-22,XMD.TO,24.15,24.629999
178,2014-10-21,XMD.TO,24.629999,24.27
179,2014-10-20,XMD.TO,24.27,24.110001
180,2014-10-17,XMD.TO,24.110001,23.809999
181,2014-10-16,XMD.TO,23.809999,23.42
182,2014-10-15,XMD.TO,23.42,23.620001
183,2014-10-14,XMD.TO,23.620001,23.940001
184,2014-10-10,XMD.TO,23.940001,24.33
185,2014-10-09,XMD.TO,24.33,24.76
186,2014-10-08,XMD.TO,24.76,24.68
187,2014-10-07,XMD.TO,24.68,24.879999
188,2014-10-06,XMD.TO,24.879999,24.879999
189,2014-10-03,XMD.TO,24.879999,24.83
190,2014-10-02,XMD.TO,24.83,24.969999
191,2014-10-01,XMD.TO,24.969999,25.299999
192,2014-09-30,XMD.TO,25.299999,25.370001
193,2014-09-29,XMD.TO,25.370001,25.280001
194,2014-09-26,XMD.TO,25.280001,25.120001
195,2014-09-25,XMD.TO,25.120001,25.41
196,2014-09-24,XMD.TO,25.41,25.290001
197,2014-09-23,XMD.TO,25.290001,25.27
198,2014-09-22,XMD.TO,25.27,25.65
199,2014-09-19,XMD.TO,25.65,25.950001
200,2014-09-18,XMD.TO,25.950001,25.959999
201,2014-09-17,XMD.TO,25.959999,26.23
202,2014-09-16,XMD.TO,26.23,26.26
203,2014-09-15,XMD.TO,26.26,26.389999
204,2014-09-12,XMD.TO,26.389999,26.379999
205,2014-09-11,XMD.TO,26.379999,26.34
206,2014-09-10,XMD.TO,26.34,26.41
207,2014-09-09,XMD.TO,26.41,26.469999
208,2014-09-08,XMD.TO,26.469999,26.690001
209,2014-09-05,XMD.TO,26.690001,26.629999
210,2014-09-04,XMD.TO,26.629999,26.799999
211,2014-09-03,XMD.TO,26.799999,26.780001
212,2014-09-02,XMD.TO,26.780001,26.879999
213,2014-08-29,XMD.TO,26.879999,26.74
214,2014-08-28,XMD.TO,26.74,26.809999
215,2014-08-27,XMD.TO,26.809999,26.799999
216,2014-08-26,XMD.TO,26.799999,26.719999
217,2014-08-25,XMD.TO,26.719999,26.700001
218,2014-08-22,XMD.TO,26.700001,26.67
219,2014-08-21,XMD.TO,26.67,26.66
220,2014-08-20,XMD.TO,26.66,26.58
221,2014-08-19,XMD.TO,26.58,26.360001
222,2014-08-18,XMD.TO,26.360001,26.200001
223,2014-08-15,XMD.TO,26.200001,26.15
224,2014-08-14,XMD.TO,26.15,26.24
225,2014-08-13,XMD.TO,26.24,26.23
226,2014-08-12,XMD.TO,26.23,26.219999
227,2014-08-11,XMD.TO,26.219999,26.110001
228,2014-08-08,XMD.TO,26.110001,25.93
229,2014-08-07,XMD.TO,25.93,26.01
230,2014-08-06,XMD.TO,26.01,25.870001
231,2014-08-05,XMD.TO,25.870001,25.950001
232,2014-08-01,XMD.TO,25.950001,26.040001
233,2014-07-31,XMD.TO,26.040001,26.299999
234,2014-07-30,XMD.TO,26.299999,26.26
235,2014-07-29,XMD.TO,26.26,26.23
236,2014-07-28,XMD.TO,26.23,26.290001
237,2014-07-25,XMD.TO,26.290001,26.219999
238,2014-07-24,XMD.TO,26.219999,26.25
239,2014-07-23,XMD.TO,26.25,26.15
240,2014-07-22,XMD.TO,26.15,25.969999
241,2014-07-21,XMD.TO,25.969999,26.02
242,2014-07-18,XMD.TO,26.02,25.99
243,2014-07-17,XMD.TO,25.99,26.0
244,2014-07-16,XMD.TO,26.0,25.809999
245,2014-07-15,XMD.TO,25.809999,26.02
246,2014-07-14,XMD.TO,26.02,26.07
