Category,Parent,Spending
Activites,Kids,TRUE
Advertising,Business Services,TRUE
Air Travel,Travel,TRUE
Alcohol & Bars,Food & Dining,TRUE
Allowance,Kids,TRUE
Amusement,Entertainment,TRUE
Arts,Expense,TRUE
ATM Fee,Fees & Charges,TRUE
Auto & Transport,Auto & Transport,TRUE
Auto Insurance,Auto & Transport,TRUE
Auto Payment,Auto & Transport,TRUE
Baby Supplies,Kids,TRUE
Babysitter & Daycare,Kids,TRUE
Bank Fee,Fees & Charges,TRUE
Bills & Utilities,Bills & Utilities,TRUE
Bonus,Income,FALSE
Bonus Interest,Income,TRUE
Books,Shopping,TRUE
Books & Supplies,Education,TRUE
Broker Fee,Home,TRUE
Business Services,Business Services,TRUE
Buy,Investments,FALSE
Cash & ATM,MISC,TRUE
Charity,Gifts & Donations,TRUE
Check,MISC,TRUE
Child Support,Kids,TRUE
Clothing,Shopping,TRUE
Coffee Shops,Food & Dining,TRUE
Credit Card Bonus,Income,TRUE
Credit Card Payment,Transfer,FALSE
Dentist,Health & Fitness,TRUE
Deposit,Investments,FALSE
Dividends & Cap Gains,Investments,FALSE
Doctor,Health & Fitness,TRUE
Dues,Education,TRUE
Education,Education,TRUE
Electronics & Software,Shopping,TRUE
Entertainment,Expense,TRUE
Expense,Expense,TRUE
Eyecare,Health & Fitness,TRUE
Fast Food,Food & Dining,TRUE
Federal Tax,Taxes,TRUE
Fee, Investments,TRUE
Fees & Charges,Fees & Charges,TRUE
Finance Charge,Fees & Charges,TRUE
Financial,Financial,TRUE
Food & Dining,Food & Dining,TRUE
Furnishings,Home,TRUE
gain/loss,Investments,FALSE
Gas & Fuel,Auto & Transport,TRUE
Gift,Gifts & Donations,TRUE
Gift Received,Gifts & Donations,FALSE
Gifts & Donations,Gifts & Donations,TRUE
Groceries,Food & Dining,TRUE
Gym,Health & Fitness,TRUE
Hair,Personal Care,TRUE
Health & Fitness,Health & Fitness,TRUE
Health Insurance,Health & Fitness,TRUE
Hide from Budgets & Trends,Hide from Budgets & Trends,FALSE
Hobbies,Shopping,TRUE
Home,Home,TRUE
Home Improvement,Home,TRUE
Home Insurance,Home,TRUE
Home Phone,Bills & Utilities,TRUE
Home Supplies,Home,TRUE
Hotel,Travel,TRUE
Income,Income,FALSE
Inheritance,Income,FALSE
Interest Expense,Fees & Charges,TRUE
Interest Income,Investments,FALSE
Internet,Bills & Utilities,TRUE
Investment,Income,TRUE
Investments,Investments,FALSE
Kids,Kids,TRUE
Late Fee,Fees & Charges,TRUE
Laundry,Personal Care,TRUE
Legal,Business Services,TRUE
Licenses,Auto & Transport,TRUE
Loan Payment,Transfer,TRUE
Local Tax,Taxes,TRUE
MISC,MISC,TRUE
Misc Expenses,Misc Expenses,TRUE
Mobile Phone,Bills & Utilities,TRUE
Mortgage & Rent,Home,TRUE
Movies & DVDs,Expense,TRUE
Moving Costs,Home,TRUE
Music,Expense,TRUE
Newspaper & Magazines,Expense,TRUE
Newspapers & Magazines,Entertainment,TRUE
Office Supplies,Business Services,TRUE
Parking,Auto & Transport,TRUE
Paycheck,Income,FALSE
Personal Care,Personal Care,TRUE
Pet Food & Supplies,Pets,TRUE
Pharmacy,Health & Fitness,TRUE
Phone,Bills & Utilities,TRUE
Printing Shipping,Business Services,TRUE
Property Tax,Taxes,TRUE
Public Transportation,Auto & Transport,TRUE
Reimbursable Expense,Business Services,FALSE
Reimbursement,Income,FALSE
Rental Car & Taxi,Travel,TRUE
Rental Income,Income,TRUE
Restaurants,Food & Dining,TRUE
Returned Purchase,Income,TRUE
Sales Tax,Taxes,TRUE
Security Deposit,Home,TRUE
Sell,Investments,FALSE
Service & Parts,Auto & Transport,TRUE
Service Fee,Fees & Charges,TRUE
Shipping,Business Services,TRUE
Shopping,Shopping,TRUE
Spa & Massage,Personal Care,TRUE
Sporting Goods,Shopping,TRUE
Sports,Health & Fitness,TRUE
State Tax,Taxes,TRUE
Student Loan,Education,TRUE
Taxes,Taxes,FALSE
Television,Bills & Utilities,TRUE
Toys,Kids,TRUE
Trade Comissions,Fees & Charges,TRUE
Transfer,Transfer,FALSE
Transfer for Cash Spending,Transfer,FALSE
Transportation,Auto & Transport,TRUE
Travel,Travel,TRUE
Tuition,Education,TRUE
Uncategorized,MISC,TRUE
Utilities,Bills & Utilities,TRUE
Vacation,Travel,TRUE
Withdrawal,Investments,TRUE
Travel Insurance,Travel,TRUE
