id,transdate,symbol,numshares,transactiontype,pricepershare,accountname
1,23-Aug-13,MoneyMarket,8091,Buy,1,"CAD RRSP"
2,4-Mar-15,XMD.TO,160,Buy,24.85,"CAD RRSP"
3,4-Mar-15,MoneyMarket,-3976,Sell,1,"CAD RRSP"
4,4-Mar-15,CLO.TO,422,Buy,9.47,"CAD RRSP"
5,4-Mar-15,MoneyMarket,-3996,Sell,1,"CAD RRSP"
16,8-Apr-15,EWC,175,Buy,28,"USD INVESTMENT"
17,6-Apr-15,DFEMX,3.4247,Buy,26.28,401K
18,6-Apr-15,VBILX,38.4615,Buy,11.7,401K
19,6-Apr-15,VGSLX,1.4821,Buy,121.45,401K
20,6-Apr-15,VBIRX,42.5733,Buy,10.57,401K
21,6-Apr-15,VSMAX,3.0505,Buy,59.01,401K
22,6-Apr-15,VFIFX,14.6675,Buy,30.68,401K
25,10-Apr-15,DFEMX,-0.0004,Fee,26.8,401K
26,10-Apr-15,VBILX,-0.0017,Fee,11.66,401K
27,10-Apr-15,VBIRX,-0.0028,Fee,10.55,401K
28,10-Apr-15,VFIFX,-0.0006,Fee,30.96,401K
29,10-Apr-15,VGSLX,-0.0001,Fee,116.98,401K
30,10-Apr-15,VSMAX,-0.0002,Fee,59.07,401K
31,20-Apr-15,DFEMX,3.3582,Buy,26.8,401K
32,20-Apr-15,VBILX,38.4287,Buy,11.71,401K
33,20-Apr-15,VBIRX,42.6136,Buy,10.56,401K
34,20-Apr-15,VFIFX,14.5396,Buy,30.95,401K
35,20-Apr-15,VGSLX,1.5504,Buy,116.1,401K
36,20-Apr-15,VSMAX,3.0524,Buy,58.97,401K
37,30-Apr-15,VBILX,0.0956,"Dividends & Cap Gains",11.61,401K
38,30-Apr-15,VBIRX,0.0512,"Dividends & Cap Gains",10.54,401K
39,5-May-15,DFEMX,3.3247,Buy,27.07,401K
40,5-May-15,VBILX,39.0625,Buy,11.52,401K
41,5-May-15,VBIRX,42.7757,Buy,10.52,401K
42,5-May-15,VFIFX,14.6294,Buy,30.76,401K
43,5-May-15,VGSLX,1.6206,Buy,111.07,401K
44,5-May-15,VSMAX,3.1353,Buy,57.41,401K
45,7-May-15,DFEMX,-0.0008,Fee,26.66,401K
46,7-May-15,VBILX,-0.0061,Fee,11.51,401K
47,7-May-15,VGSLX,-0.0003,Fee,112.49,401K
48,7-May-15,VBIRX,-0.0076,Fee,10.52,401K
49,7-May-15,VSMAX,-0.0005,Fee,57.71,401K
50,7-May-15,VFIFX,-0.0026,Fee,30.74,401K
51,21-May-15,VBILX,0.0035,Buy,11.51,401K
52,29-May-15,VBILX,0.2496,Buy,11.54,401K
53,29-May-15,VBIRX,0.1328,Buy,10.54,401K
54,4-Jun-15,DFEMX,-0.0004,Fee,25.5,401K
55,4-Jun-15,VBILX,-0.007,Fee,11.41,401K
56,4-Jun-15,VGSLX,-0.0003,Fee,110.66,401K
57,4-Jun-15,VBIRX,-0.0076,Fee,10.51,401K
58,4-Jun-15,VSMAX,-0.0005,Fee,58.68,401K
59,4-Jun-15,VFIFX,-0.0026,Fee,30.82,401K
60,9-Jun-15,DFEMX,0.0345,Buy,25.22,401K
61,26-Jun-15,VGSLX,0.0471,Buy,106.78,401K
62,29-Jun-15,DFEMX,7.2289,Buy,24.9,401K
63,29-Jun-15,VBILX,79.0861,Buy,11.38,401K
64,29-Jun-15,VGSLX,3.4017,Buy,105.83,401K
65,29-Jun-15,VBIRX,85.6327,Buy,10.51,401K
66,29-Jun-15,VSMAX,6.2101,Buy,57.97,401K
67,29-Jun-15,VFIFX,29.7128,Buy,30.29,401K
68,30-Jun-15,DFEMX,3.5587,Buy,25.29,401K
69,30-Jun-15,VBILX,39.6127,Buy,11.36,401K
70,30-Jun-15,VBILX,0.2658,Buy,11.36,401K
71,30-Jun-15,VGSLX,1.6988,Buy,105.96,401K
72,30-Jun-15,VBIRX,42.8164,Buy,10.51,401K
73,30-Jun-15,VBIRX,0.1408,Buy,10.51,401K
74,30-Jun-15,VSMAX,3.0928,Buy,58.2,401K
