id,transdate,description,amount,category,accountname
1,8-Apr-06,,-95.4,Utilities,CAD CHECKING
2,9-Apr-06,,-473.25,Utilities,CAD CHECKING
3,10-Apr-06,,5494.74,Transfer,CAD CHECKING
4,10-Apr-06,,1829.1,Mortgage & Rent,CAD CHECKING
5,13-Apr-06,,-15.69,Utilities,CAD CHECKING
6,22-Apr-06,,192,Gift Received,CAD CHECKING
7,27-Apr-06,,1698.55,Transfer,CAD CHECKING
8,1-May-06,,-39.15,Utilities,CAD CHECKING
9,2-May-06,,-1008,Mortgage & Rent,CAD CHECKING
10,6-May-06,,-700,Transfer,CAD CHECKING
11,8-May-06,,-58.1,Utilities,CAD CHECKING
12,13-May-06,,300.46,Taxes,CAD CHECKING
13,19-May-06,,-149.76,Utilities,CAD CHECKING
14,20-May-06,,-183.84,Utilities,CAD CHECKING
15,20-May-06,,348,Gift Received,CAD CHECKING
16,28-May-06,,3382.74,Transfer,CAD CHECKING
17,1-Jun-06,,-2256,Mortgage & Rent,CAD CHECKING
18,1-Jun-06,,-377,Mortgage & Rent,CAD CHECKING
19,3-Jun-06,,653.86,Mortgage & Rent,CAD CHECKING
20,4-Jun-06,,-16.58,Utilities,CAD CHECKING
21,5-Jun-06,,-89.04,Utilities,CAD CHECKING
22,9-Jun-06,,-80.6,Utilities,CAD CHECKING
23,22-Jun-06,,444,Gift Received,CAD CHECKING
24,28-Jun-06,,-28.57,Utilities,CAD CHECKING
25,28-Jun-06,,-810,Transfer,CAD CHECKING
26,4-Jul-06,,51.71,Taxes,CAD CHECKING
27,5-Jul-06,,-960,Mortgage & Rent,CAD CHECKING
28,5-Jul-06,,-174.72,Credit Card Payment,CAD CHECKING
29,6-Jul-06,,-222.64,Utilities,CAD CHECKING
30,10-Jul-06,,-69.4,Utilities,CAD CHECKING
31,11-Jul-06,,-348,Credit Card Payment,CAD CHECKING
32,22-Jul-06,,336,Gift Received,CAD CHECKING
33,3-Aug-06,,242.83,Mortgage & Rent,CAD CHECKING
34,3-Aug-06,,-532,Mortgage & Rent,CAD CHECKING
35,8-Aug-06,,-78.19,Utilities,CAD CHECKING
36,13-Aug-06,,-576.96,Credit Card Payment,CAD CHECKING
37,17-Aug-06,,-24.52,Utilities,CAD CHECKING
38,19-Aug-06,,234,Gift Received,CAD CHECKING
39,23-Aug-06,,89.86,Mortgage & Rent,CAD CHECKING
40,24-Aug-06,,633.8,Paycheck,CAD CHECKING
41,24-Aug-06,,291.71,Mortgage & Rent,CAD CHECKING
42,26-Aug-06,,98.8,Mortgage & Rent,CAD CHECKING
43,28-Aug-06,,-485,Transfer,CAD CHECKING
44,29-Aug-06,,-216,Travel,CAD CHECKING
45,30-Aug-06,,-13.2,Utilities,CAD CHECKING
46,2-Sep-06,,-376,Mortgage & Rent,CAD CHECKING
47,5-Sep-06,,900,Mortgage & Rent,CAD CHECKING
48,6-Sep-06,,-275.25,Utilities,CAD CHECKING
49,7-Sep-06,,-82.76,Utilities,CAD CHECKING
50,7-Sep-06,,2683.59,Mortgage & Rent,CAD CHECKING
51,16-Sep-06,,-790,Transfer,CAD CHECKING
52,18-Sep-06,,-2005.15,Education,CAD CHECKING
53,21-Sep-06,,402,Gift Received,CAD CHECKING
54,26-Sep-06,,-23.5,Utilities,CAD CHECKING
55,3-Oct-06,,59.71,Taxes,CAD CHECKING
56,4-Oct-06,,-536,Mortgage & Rent,CAD CHECKING
57,6-Oct-06,,-490,Transfer,CAD CHECKING
58,11-Oct-06,,-34,Travel,CAD CHECKING
59,18-Oct-06,,3960.39,Transfer,CAD CHECKING
60,18-Oct-06,,276.61,Mortgage & Rent,CAD CHECKING
61,18-Oct-06,,-4.1,Misc Expenses,CAD CHECKING
62,18-Oct-06,,-19.84,Groceries,CAD CHECKING
63,21-Oct-06,,267,Gift Received,CAD CHECKING
